stock name,text_length,num_comments,score,general sentiment,open/close percent change
SNDL,0,1,2,0.0,3.7983755375059647
GME,2007,15,10,0.0050000000000000044,0.06944444444443511
RH,238,1,2,0.14600000000000002,3.4759737293874995
SLGG,238,1,2,0.14600000000000002,11.539241533157572
AMC,1294,8,6,0.588,5.729729729729723
DD,9519,626,6,0.9099999999999999,2.7446300715990364
BB,9522,312,4,0.728,7.045735475896172
IBM,6347,312,3,0.546,3.976531942633644
NEXT,0,1,2,0.0,7.906976744186044
INTO,0,1,2,0.0,0.0
TLRY,0,38,2,0.0,8.306503541532523
GRWG,0,0,2,0.0,7.459535538353272
ATNF,29,1,1,0.0,6.3432835820895725
ING,0,1,1,0.0,2.4166666666666594
CLOV,9,10,4,0.0,6.220657276995319
SAFE,18,0,2,0.0,0.8593526210255065
HAPP,0,3,2,0.0,3.5928143712574885
HT,0,1,1,0.0,3.6742800397219386
ALL,0,2,1,0.0,0.5436987746490316
GO,0,2,1,0.0,2.5071820318621074
ROCK,0,2,1,0.0,2.9830508474576276
PLTR,0,2,1,0.0,4.526558891454967
IPO,914,6,1,0.119,1.8677927562124388
TIRX,0,2,1,0.0,0.4788507581803711
NEW,9,0,1,0.0,9.116809116809126
ONS,9,0,1,0.0,8.947368421052628
OPTI,9,0,1,0.0,8.57142857142858
FOR,9,0,1,0.0,-4.535147392290247
APRI,9,0,1,0.0,11.177644710578853
OCC,9,0,1,0.0,0.0
COIN,18,1,3,0.0,-0.19198771278637078
APHA,0,0,1,0.0,7.931570762052888
CLS,9,2,1,0.0,2.7742749054224545
CLSH,9,2,1,0.0,11.161548731642192
HCMC,56,0,3,0.275,-3.333333333333342
MP,0,0,1,0.0,7.040176925912275
MVIS,9,0,1,0.0,20.963057620817846
GMBL,9,1,1,0.0,2.6213592233009666
COST,1120,1,1,0.123,0.6673663249105141
SRNE,9,0,1,0.0,3.6339165545087546
GEGR,9,2,1,0.0,0.0
GE,9,0,1,0.0,3.2482598607888624
GME,19198,1031,15,0.35200000000000004,-3.4178140611672876
AMC,4420,4,7,0.524,-4.329896907216495
SNDL,18,3,3,0.0,-18.29126213592233
MRNA,0,1,2,0.0,-2.2080838323353245
RNA,0,1,2,0.0,1.8218623481781346
IP,2210,0,2,0.262,-1.260283563801866
MO,546,0,4,0.22799999999999998,2.720940356987375
ALL,0,2,2,0.0,0.13854930725346512
ED,0,2,2,0.0,1.0828025477706933
DOG,0,0,2,0.0,0.3151862464183365
AM,0,0,2,0.0,-1.7045454545454584
COIN,0,0,2,0.0,-3.780460373397321
NG,0,0,2,0.0,2.6652452025586353
SUND,9,0,1,0.0,1.4492753623188352
STRA,9,0,1,0.0,-1.5525114155251136
TEGY,9,0,1,0.0,0.0
ES,9,0,1,0.0,1.3312451057165204
ING,9,0,1,0.0,-2.011263073209976
MARK,9,0,1,0.0,2.8089887640449462
AY,9,0,1,0.0,2.172119879021169
FOR,18482,0,3,0.036000000000000004,-3.806907378335945
ET,18482,0,3,0.036000000000000004,-0.8750000000000036
APRI,9,0,1,0.0,1.999999999999993
ON,18482,0,3,0.036000000000000004,-2.9313746824486597
ARE,9,0,1,0.0,1.5063993657265808
NAKD,9,0,1,0.0,-3.7353651737595253
JP,1381,1,1,0.06,0.975609756097562
UAL,1381,1,1,0.06,-5.928558069945767
LEAP,1381,1,1,0.06,1.276207839562432
CCIV,71,1,1,0.0,-5.481557377049182
CLOV,3663,0,5,-0.0019999999999999983,-8.395324123273122
AHCO,36946,0,4,0.07200000000000001,1.1811023622047183
ADAP,18473,0,2,0.036000000000000004,1.5053763440860084
AMER,18473,0,2,0.036000000000000004,-0.09881391325482347
AMTX,18473,0,2,0.036000000000000004,-4.515418502202644
SOME,18473,0,2,0.036000000000000004,0.0
UPST,18473,0,2,0.036000000000000004,-4.712965846569078
JPM,9280,0,1,0.016,-1.6277843679978903
OI,18473,0,2,0.036000000000000004,1.5182884748102183
ROCK,18473,0,2,0.036000000000000004,-1.4494357158663447
BMO,18473,0,2,0.036000000000000004,-1.7285037983045175
NVDA,18473,0,2,0.036000000000000004,-0.9919566671561072
FR,18473,0,2,0.036000000000000004,1.6152116131670544
CO,18473,0,2,0.036000000000000004,2.0576131687242722
SP,18473,0,2,0.036000000000000004,0.5055292259083733
AMD,18473,0,2,0.036000000000000004,-1.9178421182875491
PERS,18473,0,2,0.036000000000000004,0.0
PT,18473,0,2,0.036000000000000004,-3.1585365853658445
DD,18473,0,2,0.036000000000000004,-2.0469361147327345
FNKO,18473,0,2,0.036000000000000004,-8.454673555659937
HGEN,18473,0,2,0.036000000000000004,-2.613048700668191
CONN,18473,0,2,0.036000000000000004,-6.785714285714294
CEO,21011,6,4,0.08300000000000002,0.0
EM,9193,0,1,0.020000000000000004,0.9456264775413509
VIAC,0,25,1,0.0,-1.8633540372670778
PM,9,0,1,0.0,3.1946426611043983
BEP,9,0,1,0.0,-4.304160688665704
HCMC,160,0,2,0.0,-26.315789473684212
SAFE,0,0,1,0.0,2.0735294117647007
QS,5109,11,3,0.09400000000000001,-0.386224654007084
SQ,2538,4,1,0.04700000000000001,-0.8441374853588608
VC,2538,4,1,0.04700000000000001,-3.608695652173918
UWMC,9,0,1,0.0,-3.5999999999999943
MD,116,0,2,0.0,0.2666666666666678
SRMX,28,4,2,0.0,-4.000000000000011
SNDL,263,2,4,0.271,14.644555542007069
GME,285,8,9,0.732,-4.3247962747380715
EBON,0,0,1,0.0,-4.258612302657756
GOGO,9,0,1,0.0,-0.21068760773798353
DD,9,0,2,0.0,-0.3624595469255678
CLOV,18,8,5,0.0,0.5197505197505272
DY,169,0,1,0.216,-0.17864649012190176
VPRB,0,2,1,0.0,39.302325581395365
AM,493,4,2,0.052,-0.2277904328018175
DOG,0,2,1,0.0,0.11520737327188695
CEO,0,0,1,0.0,0.0
COIN,9,1,1,0.0,-1.2631204412026302
NG,0,2,1,0.0,-0.7345225603357661
AP,391,0,1,0.119,-0.9971509971509886
REMI,9,1,1,0.0,0.0
ES,9,1,1,0.0,-0.8214920071047901
JUST,9,1,1,0.0,-0.21466314398943617
MAKE,9,1,1,0.0,0.0
REAL,9,1,1,0.0,-3.2231059020510657
BTC,9,0,1,0.0,-0.01896690879741608
SO,0,0,1,0.0,-0.15379883112887469
FOR,0,0,1,0.0,0.23557126030625158
GOOG,915,1,1,-0.018999999999999996,0.45462874894196603
DKNG,1036,29,1,0.093,-0.5962820063135801
SCR,1036,29,1,0.093,-9.095193213949104
GME,4939,27714,15,1.8679999999999999,-0.8397435897435912
ES,0,4,2,0.0,0.775280898876402
ALL,0,4,2,0.0,0.16393442622951052
SNDL,0,62,2,0.0,2.8550601385007854
COIN,30,2,4,0.0,4.427480916030534
IT,15,1,2,0.0,0.5025651764213064
MC,9,0,2,0.0,3.177925784966702
DOG,0,0,1,0.0,-0.08655510675128111
IDEX,9,0,1,0.0,-1.3212221304706864
UPCO,0,2,1,0.0,0.0
NIO,0,2,1,0.0,4.035745171519187
ET,0,2,1,0.0,-2.2360248447205042
BSV,9,0,1,0.0,0.04864996351253497
SLV,770,3,1,-0.0029999999999999957,-0.4545454545454522
EBET,0,0,1,0.0,-52.16981132075472
TXMD,0,0,1,0.0,-0.4201680672268818
ED,0,4,2,0.0,0.9552084677939782
JACK,0,2,1,0.0,0.5798584463204629
BTG,0,1,1,0.0,0.3929273084479462
ON,0,1,1,0.0,-1.0555946516537715
TS,0,1,1,0.0,0.13673655423882217
WHEN,0,1,1,0.0,-7.692307692307697
ALLO,0,1,1,0.0,-0.9143553794574955
CE,9,0,1,0.0,0.13950538998097584
PDT,3912,54,1,-0.044,0.9038089089735349
RH,4328,57,2,-0.064,2.8196402527953293
UI,3912,54,1,-0.044,3.48962834917891
EARN,0,2,1,0.0,-0.7352941176470577
VLDR,0,1,1,0.0,1.9817073170731827
CLOV,1114,2,2,0.356,19.83695652173913
AMC,9,0,1,0.0,-6.7
AM,0,0,1,0.0,0.2304147465437739
GME,2114,40,17,-0.716,-4.024539877300615
NAKD,40,0,2,0.0,-9.649122807017534
BEGI,465,0,2,-0.154,13.936170212765958
ED,465,0,2,-0.154,1.619273301737762
JACK,465,0,2,-0.154,0.0860215053763392
SPY,1018,0,4,0.020000000000000004,0.5148160680620668
PV,213,0,2,-0.11400000000000002,0.5005005005004898
COIN,643,11,9,0.0,-7.494984236170817
RIOT,900,8,2,0.138,-5.425594653037149
DD,900,8,3,0.138,0.012971851083137767
IPO,83,5,5,0.0,-0.015190642564188237
BLNK,122,0,2,0.462,-8.675324675324685
FUBO,0,1,1,0.0,-8.491461100569257
PROG,9,0,1,0.0,-2.2922636103151883
TS,0,0,1,0.0,-3.066666666666672
STRO,0,0,1,0.0,5.27613412228797
BOSS,0,0,3,0.0,0.2020166377021262
NG,0,0,1,0.0,2.421052631578952
JP,9,0,1,0.0,-7.239819004524893
JPM,9,0,1,0.0,0.6082644628099091
AGC,140,0,1,0.185,-6.63118974394416
DGLY,146,0,1,0.14600000000000002,-1.7441860465116295
AMC,0,3,3,0.0,0.20242914979756652
PLTR,0,4,1,0.0,-3.5818408996251683
ASXC,0,0,1,0.0,-12.149532710280383
TSLA,0,2,1,0.0,-0.5719284080204549
UVXY,0,1,1,0.0,-1.2847965738757947
JAGX,122,0,1,0.0,-14.342992527792966
CTRM,0,1,1,0.0,4.141876430205951
PYR,598,0,2,0.19399999999999998,-6.666666666666664
AI,0,0,2,0.0,-5.1355206847360835
IT,0,0,2,0.0,0.543334915862215
RUN,0,0,2,0.0,-6.719367588932804
PLYN,0,1,1,0.0,-27.363636363636367
WDLF,0,1,1,0.0,-9.642857142857148
GME,0,6,2,0.0,15.992198927352518
GOOO,9,2,1,0.0,-11.864406779661017
PLTR,9,2,2,0.0,-6.508875739644979
